lat,lon,altitude
-30.2110754071007,-57.5570603248122,42.0408
-29.7598231712009,-57.0818249090229,78.23019
-30.3828679600575,-56.4536470403836,118.674261
-30.8893840103812,-55.5348142679597,200.677824
-29.128636898258,-56.55713349703041,62.084645
-29.78204320831051,-55.7958701453331,94.731203
-29.146144198381,-56.06361348173561,104.458392
-33.6875668678584,-53.4626751416843,21.227314
-33.5198600298257,-53.3670063807333,22.271285
-32.5635686676586,-53.3775229153129,20.019821
-31.8640153034157,-54.1647315363634,237.92225
-31.3305018407089,-54.10708328517,209.095691
-31.4050982475474,-53.8678247940087,194.573242
-31.5610097227116,-53.6778046425127,225.521444
-32.0267435503097,-53.3943378608911,303.609543
-32.2363441248154,-53.0822483482181,29.418487
-31.7336369386265,-53.58717031963959,373.464079
-31.5805926678521,-53.38461996827739,432.68822
-31.4441124725134,-53.10473445397211,337.446317
-30.2440332369883,-54.9457608552519,150.359109
-30.9812670559179,-54.6741301838237,141.456516
-30.3367600540284,-54.3204778581076,120.597738
-29.5805371818348,-55.491662539453,90.384798
-29.5527159059282,-55.1323857402451,120.578999
-29.0474850247827,-55.1507805181379,357.847771
-29.8802876596639,-54.8277276903362,125.392029
-29.6920608336535,-54.6760020162093,135.488634
-29.4973467304063,-54.6938466713292,115.822362
-29.5693917747432,-54.4524354819352,103.112808
-29.40459570782,-54.8358729018542,326.047627
-29.1914601700905,-54.86907585378861,422.942866
-28.9316275187548,-54.5546989999907,328.773604
-30.8120099922089,-53.8984766554676,294.355124
-30.3451034500873,-54.09095467035859,153.51644
-30.333958688345,-53.879196483097,257.489039
-30.8747025731301,-53.1158749986991,281.300562
-30.5147432332542,-53.4875689200414,432.546779
-30.1674113888932,-53.5696441253718,119.521095
-29.7019639089413,-54.21356038450211,108.986827
-29.6175307553829,-54.1799912875495,181.086348
-29.6855818027334,-53.8086753946629,155.311933
-29.5348505675058,-53.8542256318643,446.421058
-29.602887953933,-53.75784924900451,437.046869
-29.472141699946,-54.22801099673821,123.703753
-29.2900810960349,-54.219935820282,428.456448
-29.3519213491659,-54.07125472235081,419.618407
-29.2264491184703,-53.683099614611,528.455771
-29.0774797292461,-53.8406300553464,464.189257
-29.9976338146029,-53.50029441494449,123.164908
-29.8139485358844,-53.3705685765474,59.095519
-29.6452500577358,-53.58523747361191,433.416889
-29.5195344835242,-53.5808856194398,168.908176
-29.6146764155532,-53.4463504348062,56.0
-29.5743295389602,-53.43906481970581,88.681562
-29.6248524905359,-53.36233318078499,49.968409
-29.645663362438,-53.2586916877151,65.793788
-29.7313142393347,-53.17910023895459,43.672999
-29.4941313996333,-53.01698318078349,590.266333
-29.4730257371419,-53.4706351108828,120.769776
-29.3353601281098,-53.3386383371448,458.934024
-29.4207443602758,-53.1332000129437,321.878999
-29.1796613608976,-53.1602937786865,401.5439539999999
-29.3358596124972,-53.0863955671765,349.517889
-29.4147731333216,-53.0251679436161,368.076194
-29.3426184265204,-52.9820736412151,338.059615
-29.0886812470148,-53.2133096524064,325.537791
-29.0338163553105,-53.0565506587969,300.623875
-28.8921317665278,-52.99891473322801,504.7913009999999
-28.6628375259,-56.0010291536185,94.809661
-28.1894767892825,-55.6340719501044,89.971558
-28.8022050322898,-55.23272326405159,165.803751
-28.5080969767999,-55.2245566426344,200.88437
-28.730724329428,-54.9098109252545,260.54817
-28.4066469522193,-54.9596595493639,259.81157
-28.1821546925196,-55.26010023202801,159.493025
-28.0453158368443,-55.2003099472118,129.310068
-28.2268764427117,-55.04820850203991,178.073698
-28.1353669861098,-55.0291861243459,147.911943
-28.0204849091791,-54.93470834225239,167.448276
-27.9056898461534,-55.139560262016,109.137425
-27.8513751151926,-55.0115620452524,96.2134
-27.7343739186307,-54.8990318240447,108.249975
-28.2910748183788,-54.63788670420869,289.088609
-28.5495371207205,-54.5615630937001,283.414434
-28.352387248462,-54.4990548870704,188.00134
-28.3627942771102,-54.2714318511947,243.764927
-28.3019378725592,-54.2641427984269,285.746044
-28.2563442165406,-54.81942697541041,211.366773
-28.1243539010572,-54.8882559534463,196.202775
-28.1216974443491,-54.8377420188123,212.547161
-28.1478408761664,-54.7399972398551,195.272762
-27.9916900276177,-54.8453289508288,143.876523
-28.2558159862253,-54.6168368777268,217.403388
-28.0435647649493,-54.68451077622811,229.772682
-27.9513180673193,-54.7528340428941,319.931616
-27.6610744570253,-54.7670962217407,307.853265
-27.8199297338217,-54.66874789529041,293.969006
-28.1417792565601,-54.56055592966089,269.026012
-28.130416322586,-54.4636861823155,266.635159
-28.0274895006135,-54.5454030325181,328.127093
-28.02974437211361,-54.3508400776839,431.60027
-27.8667497981428,-54.4782240987609,310.676553
-27.7540889265205,-54.47850807532731,312.080129
-27.5786353592823,-54.671951891498,220.584526
-27.5784006498033,-54.5033844145301,243.602112
-27.6500599325816,-54.43312866883421,232.342571
-27.509212612939,-54.3582679905268,246.713142
-27.6300969129048,-54.3087915108958,318.736224
-28.6456235338337,-54.11596489702111,338.427127
-28.5250597618185,-54.1481126184862,319.492636
-28.5133519883222,-53.98947008072259,389.697983
-28.3845408578866,-54.0736624302888,297.22736
-28.5774344746874,-53.81373463511491,418.512804
-28.3885365401951,-53.918066835708,311.71309
-28.3662899394048,-53.7724021387641,435.743934
-28.421586063368,-53.6565423317738,461.909944
-28.2542344716743,-54.0123868476744,280.583141
-27.847331557287,-54.1881083345896,379.292586
-27.7796602181189,-54.23530220754671,370.473459
-27.7225845665545,-54.133550202739,204.908414
-27.671566996006,-54.1094812552698,283.023797
-27.8804544575624,-54.012545591408,398.484614
-27.8372999555906,-54.0573664131385,358.197387
-27.9173647532266,-53.9457497023822,471.750345
-27.7877181691053,-53.9355261513435,414.058619
-27.7089288013511,-53.9669227230418,447.765486
-28.2377290059022,-53.77281888998731,329.684816
-28.082644871621,-53.7069373378916,462.85133
-27.8534907756234,-53.7788495982932,532.239175
-27.6744926094406,-53.8028138686737,434.5187819999999
-27.7178730188616,-53.70912810650141,452.745002
-27.6615398818935,-53.64193369399529,543.918573
-28.6424466076948,-53.6052407621196,469.581743
-28.8184880332213,-53.3887049606029,422.210615
-28.2927305361369,-53.5002651674452,418.525126
-28.7878829701972,-53.2355232639118,421.804076
-28.7423613491272,-53.09672205678179,368.05528
-28.7747455362725,-52.9907552806891,386.501636
-28.627607781644,-53.08835401952331,401.930138
-28.3651668159572,-53.25052670755039,519.928324
-28.5229477591022,-52.9931763194633,447.660714
-28.4032861698965,-53.0941072015607,531.400591
-28.2052957745073,-53.48894333085291,469.84723
-27.6575367306726,-53.5308646235229,528.182987
-27.900620874651,-53.3149539105514,623.212432
-27.666111034262,-53.31275639375811,569.949071
-28.0584504604556,-53.0672769044206,462.755786
-27.9879676583412,-52.9814768438008,416.0114
-27.7713084599705,-53.24736897885261,483.024531
-27.6907694076033,-53.1813871337597,393.01155
-27.7067309897243,-53.1356517180311,360.611651
-27.90678846624491,-53.1134988510144,382.093537
-27.923825844394,-53.0362966696036,372.979565
-27.7781833172731,-53.1187752690111,463.52375
-27.7481146913576,-53.0641092994744,349.730883
-27.7304110856673,-52.98773883211369,456.012283
-27.6120981601716,-54.1041142397608,297.512609
-27.4980122686194,-54.10003490616531,383.277081
-27.6311628717037,-53.9558847238338,473.87484
-27.5614898153462,-53.9765055737001,447.3699179999999
-27.3968988834236,-54.0853922050406,402.9641359999999
-27.45615988307,-53.9296989580111,449.870254
-27.3599436080705,-53.9927678151195,378.643047
-27.5467742033812,-53.8667908856402,465.310464
-27.6191925067591,-53.74432938207521,439.97037
-27.3721669183435,-53.7572696148981,492.6076699999999
-27.4960764222926,-53.6859940447681,488.114563
-27.2653909355284,-53.8651194603325,454.249413
-27.289978374572,-53.7013197816331,470.791233
-27.2097627884918,-53.6195609569296,213.041627
-27.1880699607268,-53.7144126933058,189.740805
-27.1753750887232,-53.7148020649025,189.650907
-26.972223590726,-53.641459736047,420.176826
-26.9398439228776,-53.6199878739379,514.0663
-26.7689379005651,-53.64104958659,502.983496
-26.6152629700366,-53.6753141316767,503.295401
-27.5494171257352,-53.5095730836612,408.689937
-27.3560199131671,-53.5555460129883,516.982325
-27.3700841693036,-53.49241046612481,546.141637
-27.3980360501364,-53.46695195961439,540.15949
-27.4804138157532,-53.4054673035279,530.600807
-27.3588824116103,-53.40077673885141,544.36496
-27.0974826246758,-53.59596667974431,337.939301
-27.2809406638578,-53.43189548510399,567.334445
-27.1684450433776,-53.4021290554095,220.997806
-27.1036116933375,-53.3986840279187,218.702999
-27.0675941638144,-53.3252862115099,225.582248
-27.6312223855182,-53.2843894020471,533.264266
-27.511674242684,-53.2147061788915,340.750715
-27.6079801339615,-53.1659130764764,368.250529
-27.5635584337012,-53.1857025890656,333.510446
-27.4536295663969,-53.2491844952574,333.740406
-27.4704034346893,-53.16853060434379,356.072502
-27.3564254730142,-53.1921772619969,465.820061
-27.5964701630804,-53.0748607372178,327.247544
-27.1922819742509,-53.26429601851491,229.495684
-27.0730539317928,-53.2505271955837,322.78054
-27.0702505484029,-53.1622672928949,422.408996
-27.331463874696,-53.058880813139,570.376822
-27.2487687559215,-53.03736604855119,447.887313
-27.0786350771308,-53.017394273321,293.198058
-27.0762129117104,-52.9872510056855,237.124936
-26.9960166785808,-53.5395118843069,545.960185
-26.844586346722,-53.5809772314809,567.358228
-26.8178702202313,-53.5046288706139,589.538271
-26.7794323280009,-53.3448914354815,299.438254
-26.7264271759021,-53.5188394061561,643.853122
-26.6003475699992,-53.52208971818379,645.751807
-26.4443352060677,-53.5981058756425,579.015419
-26.456060296096,-53.5001241069131,708.980832
-26.6522935990991,-53.44130254060449,317.891799
-26.6794635623605,-53.320158400046,404.2604039999999
-26.5356808599025,-53.333270177229,700.527395
-26.8917270816889,-53.1738455719665,515.223585
-26.8240650308153,-53.2760577940404,439.70139
